Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
1,Stanskirk,,,Neutrals,undefined,Wildlands,The Reliance,town,60,1409.5,1481,-90,0,-33,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:masoned-argent-gules;division:{division:perFess;t:azure;line:straight};shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Stanskirk&population=60&size=6&seed=5864998610001&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
2,Pensey,,,Neutrals,undefined,Wildlands,Dust-Husk Riders,town,373,0,370.25,45,-171.3,-33,19°C,Marrakesh (Morocco),,,,,plaza,,,{t1:or;ordinaries:[{ordinary:canton;t:gules}];charges:[{charge:crossPatriarchal;t:azure;p:beh;size:0.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Pensey&population=373&size=9&seed=5864998610002&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
3,Aloa,Aloa,Aloa Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,capital,14307,828.74,174.14,68.84,-70.58,289,11°C,Antwerp (Belgium),capital,port,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:crossPatonce;t:or;p:y;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Aloa&population=14307&size=35&seed=5864998610003&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.13
4,Mahoonalo,,,Neutrals,undefined,Reliance,The Whisperers,town,6401,1275.98,102.72,77.52,-16.23,256,9°C,Copenhagen (Denmark),,port,,walls,plaza,,,{t1:purpure;charges:[{charge:dragonPassant;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mahoonalo&population=6401&size=26&seed=5864998610004&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.57
5,Bozteren,,,Neutrals,undefined,Manis,The Whisperers,village,14796,2517.27,155.57,71.09,134.63,361,11°C,Antwerp (Belgium),,,,,plaza,,,{t1:tenné;charges:[{charge:mullet4;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=14796&name=Bozteren&seed=5864998610005&width=1600&height=780&style=default&tags=dead+end%2Cdense
6,Uvaraokdi,,,Neutrals,undefined,Monitor-Kin,The Whisperers,town,18881,2697.92,606.97,16.23,156.58,196,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:gules;charges:[{charge:millstone;t:argent;p:abcpqh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Uvaraokdi&population=18881&size=39&seed=5864998610006&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
7,Cam Tri,Cam Tri,Cam Tri County,Flower Valley,Flower Valley Marches,Moon-Blossoms,The Whisperers,city,3082,1602.36,997.48,-31.23,23.44,289,23°C,Rio de Janeiro (Brazil),,port,,walls,plaza,,,{t1:gules;charges:[{charge:angel;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cam+Tri&population=3082&size=20&seed=5864998610007&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.9
8,Balpyobaya,,,Neutrals,undefined,Penguins,The Strangler,trading_post,1415,2748.37,70.64,81.41,162.72,361,8°C,Prague (Czechia),,port,citadel,,plaza,,,{t1:argent;charges:[{charge:crossPommy;t:purpure;p:kn;size:0.7}];shield:heater},null
9,Sulad,Dushade,Dushade Council,Dusk Husk,Dusk Husk Commonwealth,Drifters,The Blind Spot,village,1664,1587.91,661.23,9.63,21.68,289,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:argent;division:{division:perPale;t:purpure;line:straight};ordinaries:[{ordinary:pale;t:sable;line:straight;divided:counter}];shield:heater},https://watabou.github.io/village-generator/?pop=1664&name=Sulad&seed=5864998610009&width=1600&height=780&style=default&tags=dead+end%2Cuncultivated%2Cdense
10,Ukukuileha,Vesperuro,Vesperuro Land,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,trading_post,815,71.42,130.02,74.2,-162.62,256,10°C,London (England),,port,,,plaza,,,{t1:argent;charges:[{charge:lionHeadCaboshed;t:sable;p:jln;t2:purpure;size:0.7}];shield:heater},null
11,Siukingsai,,,Neutrals,undefined,Orcas,The Whisperers,trading_post,801,38.38,677.42,7.67,-166.64,324,26°C,Jakarta (Indonesia),,port,citadel,,plaza,,,{t1:grillage-purpure-or-smaller;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:sunInSplendour2;t:gules;p:ABCDEFGHIJKL;size:0.18};{charge:crossHummetty;t:argent;p:e;size:1.1}];shield:heater},null
12,Ijilmimzu,Scutaimia,Scutaimia Territory,Hive,Hivean Chancellery,Wildlands,Cult of Identity,village,528,1734.79,795.3,-6.66,39.53,289,27°C,Mogadishu (Somalia),,,citadel,,plaza,,,{t1:or;ordinaries:[{ordinary:fessDoubleCotissed;t:azure;line:enclavy}];charges:[{charge:lighthouse;t:sable;p:e;t2:gules;t3:sable;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/village-generator/?pop=528&name=Ijilmimzu&seed=5864998610012&width=1000&height=488&style=default&tags=highway%2Cuncultivated%2Cdense
13,Heartfury,Heartfrost,Heartfrost Region,Meridian Chain,Meridian Chainese League,Grazer-Kin,The Blind Spot,town,28261,2138.37,710.65,3.63,88.58,256,27°C,Mogadishu (Somalia),,port,,,plaza,,,{t1:or;charges:[{charge:armillarySphere;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartfury&population=28261&size=46&seed=5864998610013&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
14,Windlascale,,,Neutrals,undefined,Weeping Mangroves,Siren Song,town,1700,643.97,329.49,49.95,-93.04,324,16°C,Dubrovnik (Croatia),,,,,plaza,,,{t1:vert;charges:[{charge:caravel;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Windlascale&population=1700&size=16&seed=5864998610014&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
15,Nightwhist,Frostia,Frostia Territory,Vaneer,Protectorate of Vaneer,Beetles,The Whisperers,village,981,927.73,1158.42,-50.79,-58.55,256,20°C,Alexandria (Egypt),,,,,plaza,,,{t1:azure;charges:[{charge:crossHummetty;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=981&name=Nightwhist&seed=5864998610015&width=1000&height=488&style=default&tags=dead+end%2Cuncultivated%2Cdense
16,Ignixa,Ignixa,Ignixa County,Iron Caladra,Iron Caladran Kingdom,Orcas,The Whisperers,capital,17556,849,872,-15.98,-68.12,1600,17°C,Lisbon (Portugal),capital,,citadel,walls,plaza,,,{t1:or;division:{division:perFess;t:gules;line:straight};charges:[{charge:wolfRampant;t:sable;p:k;t2:vert;t3:purpure;size:0.7};{charge:cancer;t:argent;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ignixa&population=17556&size=38&seed=5864998610016&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
17,Whispilight,Whispilight,Whispilight Canton,Heartlands,Heartlands Federation,Gar-Pikes,The Whisperers,capital,7153,1212.24,1139.3,-48.47,-23.97,225,21°C,Tegucigalpa (Honduras),capital,port,citadel,walls,plaza,,,{t1:or;division:{division:perChevronReversed;t:gules;line:archedReversed};charges:[{charge:armEmbowedVambracedHoldingSword;t:azure;p:bdefh;t2:azure;t3:azure;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Whispilight&population=7153&size=27&seed=5864998610017&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
18,Frostnail,Shadowsker,Shadowsker Territory,Sumpkin,Marches of Sumpkin,Newts,The Whisperers,town,7108,571.61,970.28,-27.93,-101.83,256,23°C,Rio de Janeiro (Brazil),,port,,,plaza,,,{t1:azure;division:{division:perFess;t:argent;line:straight};charges:[{charge:crossHummetty;t:or;p:k;size:0.7};{charge:lambPassantReguardant;t:gules;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Frostnail&population=7108&size=27&seed=5864998610018&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.41
19,Iron,Blod,Blod District,Relience,Reliencean Republic,Small-Paws,The Whisperers,town,17690,1029.59,175.96,68.61,-46.17,225,12°C,Paris (France),,,,,plaza,,,{t1:sable;charges:[{charge:scissors;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Iron&population=17690&size=38&seed=5864998610019&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
20,Vejury,Snapdmer,Snapdmer Colony,RiverFolk,RiverFolk Trade Company,Sun-Blossoms,The Whisperers,village,574,1476.61,1231.9,-59.72,8.16,2025,7°C,Montreal (Canada),,,,,plaza,,,{t1:gules;charges:[{charge:sickle;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=574&name=Vejury&seed=5864998610020&width=1000&height=488&style=default&tags=dead+end%2Cuncultivated%2Cdense
